United States;0.198566
China;0.142149
India;0.073444
Japan;0.042675
Russia;0.039274
Brazil;0.024545
Germany;0.024082
South Korea;0.023878
United Kingdom;0.021158
France;0.018924
Italy;0.017420
Turkey;0.014317
Pakistan;0.013772
Indonesia;0.013708
Iran;0.013450
North Korea;0.012925
Mexico;0.012269
Ukraine;0.011835
Spain;0.011389
Saudi Arabia;0.010883
Canada;0.010683
Egypt;0.009713
Bangladesh;0.008060
Taiwan;0.008010
Thailand;0.007973
Nigeria;0.007792
Australia;0.007612
Vietnam;0.007113
Poland;0.006939
Myanmar;0.006395
South Africa;0.006316
Colombia;0.006174
Philippines;0.005722
Netherlands;0.005646
Algeria;0.005290
Iraq;0.005222
Argentina;0.004721
Venezuela;0.004559
Morocco;0.004471
Syria;0.004454
Malaysia;0.004403
Democratic Republic of the Congo;0.004175
Ethiopia;0.003895
Belgium;0.003858
Greece;0.003813
Israel;0.003638
Kazakhstan;0.003233
Singapore;0.003226
Romania;0.003213
Sudan;0.003107
Chile;0.003076
Peru;0.002986
United Arab Emirates;0.002980
Austria;0.002979
Angola;0.002572
Sweden;0.002557
Belarus;0.002483
Czech Republic;0.002353
Uzbekistan;0.002256
Eritrea;0.002157
Finland;0.002144
Tanzania;0.002078
Sri Lanka;0.001932
Portugal;0.001841
Kenya;0.001777
Libya;0.001763
Norway;0.001640
Cambodia;0.001608
Hungary;0.001556
Ecuador;0.001556
Yemen;0.001518
Denmark;0.001493
Jordan;0.001448
Nepal;0.001437
Afghanistan;0.001433
Bulgaria;0.001422
Slovakia;0.001420
Kuwait;0.001352
Cuba;0.001334
Uganda;0.001320
Azerbaijan;0.001279
Oman;0.001217
Ivory Coast;0.001173
Ghana;0.001109
Switzerland;0.001083
Bolivia;0.001050
Zimbabwe;0.001032
Mozambique;0.000994
Dominican Republic;0.000974
Cameroon;0.000969
Serbia;0.000951
Qatar;0.000884
Lebanon;0.000844
Tunisia;0.000822
Guatemala;0.000789
New Zealand;0.000771
Zambia;0.000749
Turkmenistan;0.000711
Madagascar;0.000697
Burkina Faso;0.000659
Senegal;0.000645
Ireland;0.000635
Armenia;0.000614
Rwanda;0.000581
Croatia;0.000580
El Salvador;0.000575
Chad;0.000568
Burundi;0.000562
Haiti;0.000542
Somalia;0.000531
Malawi;0.000527
Mali;0.000516
Niger;0.000505
Georgia;0.000504
Uruguay;0.000474
Laos;0.000471
Guinea;0.000458
Honduras;0.000454
Paraguay;0.000450
Lithuania;0.000442
Luxembourg;0.000428
Bosnia and Herzegovina;0.000400
Sierra Leone;0.000393
Bahrain;0.000390
Nicaragua;0.000388
Benin;0.000370
Republic of the Congo;0.000361
Kyrgyzstan;0.000357
Trinidad and Tobago;0.000354
Tajikistan;0.000352
Slovenia;0.000346
Moldova;0.000346
Latvia;0.000345
Togo;0.000297
Mauritania;0.000290
Albania;0.000276
North Macedonia;0.000270
Estonia;0.000253
Mongolia;0.000249
Costa Rica;0.000240
Papua New Guinea;0.000237
Liberia;0.000223
Central African Republic;0.000206
Cyprus;0.000202
Panama;0.000196
Jamaica;0.000192
Botswana;0.000187
Namibia;0.000179
Gabon;0.000153
Brunei;0.000150
Djibouti;0.000145
Montenegro;0.000133
Guinea-Bissau;0.000132
Timor-Leste;0.000113
Equatorial Guinea;0.000109
Lesotho;0.000098
Fiji;0.000081
Mauritius;0.000062
Suriname;0.000058
Eswatini;0.000057
Gambia;0.000051
Guyana;0.000049
Bhutan;0.000046
Bahamas;0.000044
Iceland;0.000043
Maldives;0.000035
Malta;0.000029
Comoros;0.000024
Cape Verde;0.000022
Belize;0.000021
Barbados;0.000020
Solomon Islands;0.000013
Sao Tome and Principe;0.000006
Vanuatu;0.000006
Samoa;0.000005
Saint Lucia;0.000005
Seychelles;0.000004
San Marino;0.000003
Monaco;0.000003
Antigua and Barbuda;0.000003
Federated States of Micronesia;0.000003
Grenada;0.000003
Saint Vincent and the Grenadines;0.000003
Tonga;0.000003
Andorra;0.000003
Kiribati;0.000002
Dominica;0.000002
Liechtenstein;0.000002
Saint Kitts and Nevis;0.000002
Marshall Islands;0.000001
Palau;0.000001
Nauru;0.000000
Tuvalu;0.000000